Date,EUA,France electricity,NG
10/01,63.61,70.364,24.33
10/02,62.6,71.333,24.1
10/03,62.76,71.657,24.1
10/04,62.05,72.303,24.1
10/05,62.05,72.303,23.95
10/06,62.05,72.303,23.5
10/07,61.76,72.505,23.29
10/08,60.29,71.374,23.92
10/09,62.01,71.98,23.07
10/10,65,73.111,23.07
10/11,64.62,75.17,23.07
10/12,64.62,75.17,21.7
10/13,64.62,75.17,22.28
10/14,65.97,76.667,22.18
10/15,65.09,75.495,21.87
10/16,63.03,73.434,21.79
10/17,62.98,73.313,21.79
10/18,62.28,71.535,21.79
10/19,62.28,71.535,21.3
10/20,62.28,72,21.25
10/21,61.76,71.697,21.28
10/22,62.25,73.071,21.53
10/23,64.89,73.96,22.11
10/24,66.63,75.212,22.11
10/25,66.97,75.495,22.11
10/26,66.97,75.495,22.32
10/27,66.97,75.495,22.32
