Date,Value,Unnamed: 2,EUA
10-01,63.61,,
10-02,62.6,,
10-03,62.76,,
10-04,62.05,,
10-05,62.05,,
10-06,62.05,,
10-07,61.76,,
10-08,60.29,,
10-09,62.01,,
10-10,65.0,,
10-11,64.62,,
10-12,64.62,,
10-13,64.62,,
10-14,65.97,,
10-15,65.09,,
10-16,63.03,,
10-17,62.98,,
10-18,62.28,,
10-19,62.28,,
10-20,62.28,,
10-21,61.76,,
10-22,62.25,,
10-23,64.89,,
10-24,66.63,,
10-25,66.97,,
10-26,66.97,,
10-27,66.97,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-28,,67.24731642,
2024-10-29,,108.2821785,
2024-10-30,,133.8054632,
2024-10-31,,149.6806978,
2024-11-01,,159.5549392,
2024-11-02,,165.6966212,
2024-11-03,,169.5166876,
2024-10-01,,67.24731642,
2024-10-02,,108.2821785,
2024-10-03,,133.8054632,
2024-10-04,,149.6806978,
2024-10-05,,159.5549392,
2024-10-06,,165.6966212,
2024-10-07,,169.5166876,
2024-10-28,,,65.606
2024-10-29,,,65.606
2024-10-30,,,65.606
2024-10-31,,,65.606
2024-11-01,,,65.606
2024-11-02,,,65.606
2024-11-03,,,65.606
